"timesstamp,brightness,motion_pixels,mode,fps"
2026-01-10 06: 05: 16,15.16,0,DAY,0.48
2026-01-10 06: 06: 45,15.53,0,DAY,1.24
2026-01-10 06: 09: 22,17.84,0,DAY,1.08
2026-01-10 06: 12: 18,27.31,0,DAY,0.51
2026-01-10 06: 14: 09,36.66,0,DAY,1.04
2026-01-10 06: 18: 28,59.12,0,DAY,0.94
2026-01-10 06: 24: 25,171.43,0,DAY,0.49
2026-01-10 06: 24: 32,105.41,216441,DAY,0.15
2026-01-10 06: 24: 33,108.31,11862,DAY,0.81
2026-01-10 06: 24: 35,106.13,20053,DAY,0.58
2026-01-10 06: 24: 36,114.48,20767,DAY,0.65
2026-01-10 06: 24: 37,112.56,8646,DAY,0.86
2026-01-10 06: 24: 39,112.76,6517,DAY,0.66
2026-01-10 06: 24: 39,113.23,11202,DAY,2.32
2026-01-10 06: 24: 40,113.18,11283,DAY,2.69
2026-01-10 06: 24: 40,113.18,3868,DAY,1.96
2026-01-10 06: 24: 41,113.59,8180,DAY,2.11
2026-01-10 06: 24: 41,113.74,8584,DAY,1.44
2026-01-10 06: 24: 42,113.19,4567,DAY,1.32
2026-01-10 06: 24: 43,113.55,4534,DAY,2.56
2026-01-10 06: 24: 43,113.59,2294,DAY,2.14
2026-01-10 06: 24: 44,113.8,7864,DAY,0.93
2026-01-10 06: 24: 45,114.05,3537,DAY,1.39
2026-01-10 06: 24: 45,114.31,5983,DAY,1.72
2026-01-10 06: 24: 47,114.38,6105,DAY,0.5
2026-01-10 06: 24: 48,114.83,3989,DAY,2.1
2026-01-10 06: 24: 48,115.11,4327,DAY,2.06
2026-01-10 06: 24: 49,115.38,1564,DAY,2.15
2026-01-10 06: 24: 49,115.29,4173,DAY,2.44
2026-01-10 06: 24: 50,115.73,10813,DAY,2.92
2026-01-10 06: 24: 50,115.69,6758,DAY,4.31
2026-01-10 06: 24: 50,115.45,11969,DAY,2.98
2026-01-10 06: 24: 50,115.76,10267,DAY,2.89
2026-01-10 06: 24: 51,116.82,11507,DAY,3.65
2026-01-10 06: 24: 51,111.79,6782,DAY,4.0
2026-01-10 06: 24: 51,111.49,8171,DAY,4.01
2026-01-10 06: 24: 51,112.12,7914,DAY,4.95
2026-01-10 06: 24: 52,112.41,6168,DAY,5.05
2026-01-10 06: 24: 52,112.2,3783,DAY,6.9
2026-01-10 06: 24: 52,112.25,4281,DAY,6.64
2026-01-10 06: 24: 52,112.41,2928,DAY,5.91
2026-01-10 06: 24: 52,112.31,5207,DAY,8.29
2026-01-10 06: 24: 52,112.28,877,DAY,7.11
2026-01-10 06: 24: 53,112.4,3134,DAY,7.8
2026-01-10 06: 24: 53,112.42,4242,DAY,4.56
2026-01-10 06: 24: 53,112.41,569,DAY,4.16
2026-01-10 06: 24: 53,112.39,4663,DAY,4.28
2026-01-10 06: 24: 54,112.51,2830,DAY,2.83
2026-01-10 06: 24: 54,112.38,5553,DAY,5.37
2026-01-10 06: 24: 54,112.61,5627,DAY,3.13
2026-01-10 06: 24: 55,112.57,5033,DAY,2.12
2026-01-10 06: 24: 55,112.65,827,DAY,2.93
2026-01-10 06: 24: 55,112.77,2774,DAY,3.84
2026-01-10 06: 24: 55,112.85,2094,DAY,3.52
2026-01-10 06: 24: 56,113.11,4960,DAY,2.61
2026-01-10 06: 24: 56,113.19,7864,DAY,4.6
2026-01-10 06: 24: 56,113.19,4715,DAY,7.43
2026-01-10 06: 24: 56,113.39,10795,DAY,5.46
2026-01-10 06: 24: 57,113.39,0,DAY,5.02
2026-01-10 06: 24: 57,113.35,8048,DAY,4.67
2026-01-10 06: 24: 57,113.47,8035,DAY,4.33
2026-01-10 06: 24: 57,113.5,9243,DAY,4.29
2026-01-10 06: 24: 57,113.95,9938,DAY,7.06
2026-01-10 06: 24: 58,113.95,8160,DAY,6.09
2026-01-10 06: 24: 58,113.87,3015,DAY,6.68
2026-01-10 06: 24: 58,114.25,4384,DAY,8.5
2026-01-10 06: 24: 58,114.32,6375,DAY,5.35
2026-01-10 06: 24: 58,114.45,3103,DAY,4.92
2026-01-10 06: 24: 58,114.38,9988,DAY,4.7
2026-01-10 06: 24: 59,114.2,3649,DAY,6.16
2026-01-10 06: 24: 59,114.17,10693,DAY,4.8
2026-01-10 06: 24: 59,114.05,3679,DAY,4.58
2026-01-10 06: 24: 59,113.85,3330,DAY,6.7
2026-01-10 06: 24: 59,113.64,4073,DAY,7.84
2026-01-10 06: 24: 59,112.66,12454,DAY,7.32
2026-01-10 06: 25: 00,112.66,0,DAY,4.64
2026-01-10 06: 25: 00,111.41,9091,DAY,3.02
2026-01-10 06: 25: 01,110.76,8767,DAY,1.54
2026-01-10 06: 25: 01,112.48,12304,DAY,4.58
2026-01-10 06: 25: 01,111.91,9046,DAY,3.78
2026-01-10 06: 25: 01,113.23,12722,DAY,4.04
